Unnamed: 0,Date,Open,High,Low,Close,Adj Close,PercentageChange,Difference,Volume,Currency,Month,MonthStr,Volatility,AverageVolatility
177,2021-06-26,0.2376729995012283,0.2551270127296448,0.2309720069169998,0.2447839975357055,0.2447839975357055,-2.9050093576643863,-0.0071109980344772,2649457302,DOGE,6,June,-0.007110998034477206,15.96366805773642
178,2021-06-27,0.2460449934005737,0.2668910026550293,0.240894004702568,0.2644500136375427,0.2644500136375427,-6.959735030377079,-0.018405020236969,2167521670,DOGE,6,June,-0.018405020236969022,15.96366805773642
179,2021-06-28,0.2649179995059967,0.2669819891452789,0.2507619857788086,0.2568570077419281,0.2568570077419281,3.138318800383956,0.0080609917640686,1932994784,DOGE,6,June,0.008060991764068604,15.96366805773642
180,2021-06-29,0.2570610046386719,0.274940013885498,0.2529880106449127,0.2627690136432647,0.2627690136432647,-2.172253465297105,-0.0057080090045928,2192562738,DOGE,6,June,-0.00570800900459284,15.96366805773642
181,2021-06-30,0.2634170055389404,0.2635380029678345,0.2382680028676986,0.2542150020599365,0.2542150020599365,3.6197720057584495,0.0092020034790038,2047763830,DOGE,6,June,0.00920200347900385,15.96366805773642
152,2021-06-01,70.08660888671875,71.64020538330078,65.8602523803711,67.78890228271484,67.78890228271484,3.3895025979640137,2.2977066040039062,3205445345,ETC,6,June,2.2977066040039062,15.96366805773642
153,2021-06-02,67.77294158935547,70.33244323730469,65.90174102783203,68.39360046386719,68.39360046386719,-0.9074809197091724,-0.6206588745117188,2843370083,ETC,6,June,-0.6206588745117188,15.96366805773642
154,2021-06-03,68.44098663330078,72.46000671386719,67.30265045166016,69.80142974853516,69.80142974853516,-1.9490189816103665,-1.360443115234375,2913129860,ETC,6,June,-1.360443115234375,15.96366805773642
155,2021-06-04,69.87163543701172,69.87163543701172,61.55918502807617,64.88108825683594,64.88108825683594,7.691836426079016,4.990547180175781,3607554276,ETC,6,June,4.990547180175781,15.96366805773642
156,2021-06-05,64.85958862304688,67.36779022216797,61.78732299804688,63.14029693603516,63.14029693603516,2.7229705440781427,1.7192916870117116,3137036325,ETC,6,June,1.7192916870117116,15.96366805773642
157,2021-06-06,63.14491271972656,65.5016098022461,62.82683181762695,64.10669708251953,64.10669708251953,-1.5002868757299086,-0.9617843627929688,2618835050,ETC,6,June,-0.9617843627929688,15.96366805773642
158,2021-06-07,64.0958251953125,65.10173797607422,57.6357307434082,57.86178970336914,57.86178970336914,10.774010834961034,6.234035491943359,2868782848,ETC,6,June,6.234035491943359,15.96366805773642
159,2021-06-08,58.02037811279297,59.14887619018555,49.79930877685547,56.907257080078125,56.907257080078125,1.956026506687002,1.1131210327148438,3791046087,ETC,6,June,1.1131210327148438,15.96366805773642
160,2021-06-09,56.787540435791016,62.58442687988281,53.7254638671875,61.98173522949219,61.98173522949219,-8.380202287769555,-5.194194793701172,4113067210,ETC,6,June,-5.194194793701172,15.96366805773642
161,2021-06-10,62.2972526550293,63.375396728515625,57.24051284790039,57.94295120239258,57.94295120239258,7.514807862352929,4.354301452636719,3163850050,ETC,6,June,4.354301452636719,15.96366805773642
162,2021-06-11,57.96915817260742,60.42933654785156,56.20046615600586,56.95616912841797,56.95616912841797,1.7785413936556835,1.0129890441894531,2907275844,ETC,6,June,1.0129890441894531,15.96366805773642
163,2021-06-12,56.91997146606445,56.91997146606445,53.3037338256836,55.265533447265625,55.265533447265625,2.993616302242867,1.654438018798828,2621237907,ETC,6,June,1.6544380187988281,15.96366805773642
164,2021-06-13,55.24462127685547,60.260589599609375,53.8359489440918,59.05662536621094,59.05662536621094,-6.454828845565048,-3.8120040893554688,2644959954,ETC,6,June,-3.8120040893554688,15.96366805773642
165,2021-06-14,59.04187774658203,60.53423309326172,56.76473617553711,59.15674209594727,59.15674209594727,-0.194169498345499,-0.1148643493652414,2789936710,ETC,6,June,-0.11486434936524148,15.96366805773642
166,2021-06-15,59.03602981567383,60.14081573486328,57.46705627441406,59.37721633911133,59.37721633911133,-0.5746084853303624,-0.3411865234375,2398590865,ETC,6,June,-0.3411865234375,15.96366805773642
167,2021-06-16,58.244178771972656,58.30631256103516,54.91990280151367,55.27223587036133,55.27223587036133,5.376918184713738,2.971942901611328,2071407832,ETC,6,June,2.971942901611328,15.96366805773642
168,2021-06-17,55.32509231567383,57.215145111083984,54.41284942626953,55.53529739379883,55.53529739379883,-0.3785071620926836,-0.210205078125,1772611691,ETC,6,June,-0.210205078125,15.96366805773642
169,2021-06-18,55.55996322631836,55.55996322631836,50.66911315917969,52.545501708984375,52.545501708984375,5.736859330089074,3.0144615173339844,1876860732,ETC,6,June,3.0144615173339844,15.96366805773642
170,2021-06-19,52.56412124633789,53.23691940307617,50.99184036254883,51.1483268737793,51.1483268737793,2.768016979426139,1.4157943725585938,1634610713,ETC,6,June,1.4157943725585938,15.96366805773642
171,2021-06-20,51.04888916015625,51.4492416381836,47.1248893737793,51.11225128173828,51.11225128173828,-0.1239666029045949,-0.0633621215820312,1774866299,ETC,6,June,-0.06336212158203125,15.96366805773642
172,2021-06-21,51.03139114379883,51.360328674316406,38.63952255249024,39.42816925048828,39.42816925048828,29.42876150194788,11.603221893310549,2361396365,ETC,6,June,11.603221893310547,15.96366805773642
173,2021-06-22,39.46621322631836,42.65141677856445,32.50510025024414,36.52656936645508,36.52656936645508,8.047960459607147,2.939643859863281,2749863356,ETC,6,June,2.9396438598632812,15.96366805773642
174,2021-06-23,36.57468795776367,42.38348388671875,34.7816162109375,40.56602096557617,40.56602096557617,-9.83910404029889,-3.9913330078125,2409661134,ETC,6,June,-3.9913330078125,15.96366805773642
175,2021-06-24,40.79387664794922,43.480167388916016,38.828460693359375,43.092899322509766,43.092899322509766,-5.335038279403127,-2.299022674560547,1858527477,ETC,6,June,-2.299022674560547,15.96366805773642
176,2021-06-25,43.13214492797852,45.30093383789063,39.06942367553711,39.62571716308594,39.62571716308594,8.848868906173545,3.506427764892585,2177915889,ETC,6,June,3.5064277648925852,15.96366805773642
177,2021-06-26,39.51355743408203,40.91435241699219,37.65264129638672,40.51564407348633,40.51564407348633,-2.473332615882239,-1.0020866394042969,2088072905,ETC,6,June,-1.0020866394042969,15.96366805773642
178,2021-06-27,40.54334259033203,42.44310760498047,39.52192687988281,42.331085205078125,42.331085205078125,-4.223238327307595,-1.7877426147460938,1782621295,ETC,6,June,-1.7877426147460938,15.96366805773642
179,2021-06-28,42.34905242919922,44.47114944458008,41.16668319702149,43.32964706420898,43.32964706420898,-2.263103213272527,-0.9805946350097584,1965963965,ETC,6,June,-0.9805946350097585,15.96366805773642
180,2021-06-29,43.35631942749024,58.3187370300293,43.23604965209961,56.30165100097656,56.30165100097656,-22.99280987916639,-12.94533157348632,4689117273,ETC,6,June,-12.945331573486321,15.96366805773642
181,2021-06-30,56.6357536315918,62.01344299316406,51.84390640258789,57.6273078918457,57.6273078918457,-1.7206326245793824,-0.9915542602539062,5960519765,ETC,6,June,-0.9915542602539062,15.96366805773642
